"Zeichen (Sign);Variante;Belegstellen (KBo 1.8++);Klassifizierung (Ductus);Score;Bemerkung"
"LI (343);LI/1;obv. 4, 16, 25;Hethitisch (Standard);0;"
";LI/2;passim;Mixed / Late Hittite;1;"
";LI/3;obv. 31;Mixed (Syro-Mes. Typ);1;"
";Spec.;rev. 8', 9', 35';Assyro-Mittanisch;2;Gebrochene Keilkoepfe"
"TI (37);TI/1;obv. 6, 32, 33;Hethitisch (Standard);0;"
";TI/2;passim;Mixed / Late Hittite;1;"
";TI/3;rev. 13', 18';Assyro-Mittanisch;2;Typisch Syro-Mes."
"SAR (353);SAR;obv. 41 (2x);Assyro-Mittanisch;2;""""""Foreign form"""""""
"AL (183);AL/1;obv. 10, 11, 12, 27;Hethitisch;0;"
";AL/2;obv. 5, 30, 42;Mixed;1;"
";AL/3;obv. 23;Fremd;2;Keine Parallele in Bo."
"TE (249);TE/1;obv. 17, 18, 23, 24, 27;Hethitisch;0;"
";TE/2;obv. 13, 17, rev. 4';Mixed;1;"
";TE/3;rev. 11', 15';Mixed (Syro-Mes. Typ);1;"
"RA (233);RA/1;obv. 4, 9;Hethitisch;0;"
";RA/2;obv. 29;Mixed;1;"
";RA/3;obv. 34;Mixed;1;"
"LAGAB (179);LAGAB/1;obv. 6;Hethitisch;0;"
";LAGAB/2;obv. 9, 28;Assyro-Mittanisch;2;Non-Hittite parallel"
";LAGAB/3;obv. 24, 29;Mixed;1;"
"Ù (265);Ù/1;obv. 2;Hethitisch;0;"
";Ù/2;obv. 37, 39, 42;Hethitisch;0;"
";Ù/3;rev. 9', 12', 19';Assyro-Mittanisch;2;Typisch Syrisch"
"KÙR (256);KÙR/1;obv. 33;Hethitisch;0;"
";KÙR/2;rev. 5', 7', 14', 16';Fremd;2;Syro-Mes. Typ"
"KU (206);KU/1;obv. 2, 6, 26, 31;Hethitisch;0;"
";KU/2;obv. 37, rev. 16', 23';Mixed;1;Anomalous"
"ʾ (Aleph);ʾ/1;obv. 32;Hethitisch;0;"
";ʾ/2;rev. 33';Assyro-Mittanisch;2;"
"IT (352);IT/1;obv. 13;Hethitisch;0;"
";IT/2;rev. 4';Mixed / Late Hittite;1;"

"IG (80);IG;obv. 1, 3;Hethitisch (NS);0;"
"EN (99);EN;obv. 5 passim;Hethitisch;0;"
"AG (97);AG;(Notizen S. 52);Mixed;1;Akkadogramm-Kontext"
"AŠ (1);AŠ; passim ;Hethitisch (Standard);0;"
"BAL (4);BAL;rev. 23;Hethitisch (Standard);0;"
"TAR (7);TAR/1;obv. 6, rev. 21;Hethitisch;0;"
";TAR/2;obv. 6;Fremd;1;Anomalous"
"AN (8);AN;passim;Standard;1;"
"NU (11);NU;passim;Standard;1;"
"NUMUN (12);NUMUN;obv. 31;Standard;1;"
"BAD (13);BAD;passim;Standard;1;"
"NA (15);NA;passim;Standard;1;"
"MU (17);MU;passim;Standard;1;"
"BAR (20);BAR;rev. 13, 17;Standard;1;"
"SILA2 (21);SILA2 ;obv. 18, rev. 12;Standard;1;"
"HU (24);HU;obv. 19;Standard;1;"
"GI (30);GI;obv. 26;Standard;1;"
"RI (32);RI;passim;Standard;1;"
"ZI (33);ZI;passim;Standard;1;"
"EN (40);EN;obv. 17, 39;Standard;1;"
"RU (43);RU;obv. 17, 18, rev. 9;Standard;1;"
"IB (44);IB;rev. 15;Standard;1;"
"UR (51);UR/1;obv. 2;Standard;1;"
";UR/2;obv. 15, 43;Fremd;1;Anomalous"
"IG (67);IG;passim;Assyro-Mittanisch;2;"
"ŠU (68);ŠU/1;passim;Hethitisch;0;"
";ŠU/2;obv. 6,15;Assyro-Mittanisch;2;"
"NI (72);NI/1;passim;Hethitisch;0;"
";NI/2;obv. 22 (2x), 23;Assyro-Mittanisch;2;"
"IR (77);IR;obv. 3,17, 23, 28, rev. 7;Hethitisch;0;"
"LÚ (78);LÚ/1;passim;Hethitisch;0;"
";LÚ/2;obv. 22, 24;Assyro-Mittanisch;2;"
"ŠEŠ (79);ŠEŠ;passim;Hethitisch;0;"
"AG (81);AG;passim;Assyro-Mittanisch;2;"
"ŠUM (91);ŠUM;passim;Hethitisch;0;"
"UG (93);AG;obv. 17, 25;Mixed;1;Anomalous"
"LA (95);LA/1;passim;Hethitisch;0;"
";LA/2;obv. 22, 23, 34, 42;Assyro-Mittanisch;2;"
"UM (98);UM;passim;Hethitisch;0;"
"DUB (99);DUB/1;obv. 6, 8, 28, 28;Hethitisch;0;"
";DUB/2;obv. 10, 24, 29;Assyro-Mittanisch;2;"
"AD (105);AD;passim;Hethitisch;0;"
"LUGAL (115);LUGAL/1;passim;Hethitisch;0;"
";LUGAL/2;obv. 25;Assyro-Mittanisch;2;"
"IL (117);IL/1;obv. 6;Hethitisch;0;"
";IL/2;obv. 9;Hethitisch;0;"
";IL/3;obv. 6, 14;Assyro-Mittanisch;2;"
";IL/4;obv. 16;Assyro-Mittanisch;2;"
"TUM (125);TUM;obv. 36;Mixed;1;"
"EGIR (126);EGIR;obv. 8, 21, 25;Hethitisch;0;"
"DU (128);DU/1;obv. 23, 25, 38, rev. 6;Mixed;1;"
";DU/2;obv. 43;Mixed;1;"
";DU/3;rev. 16;Mixed;1;"
"UŠ (132);UŠ;obv. 25, 37, rev. 15;Hethitisch;0;"
"INIM (133);INIM;passim;Hethitisch;0;"
"SAHAR (151);SAHAR;obv.12, 14, rev. 18;Hethitisch;0;"
"UB (152);UB;passim;Hethitisch;0;"
"BI (153);BI;passim;Hethitisch;0;"
"ŠA(158);ŠA/1;passim;Hethitisch;0;"
";ŠA/2;obv. 25, 28, rev. 7, 8;Assyro-Mittanisch;2;"
";ŠA/3;obv. 20, 27, 31;Assyro-Mittanisch;2;"
"GA (159);GA;obv. 10, 14, 19;Hethitisch;0;"
"TA (160);TA;passim;Standard;1;"
"AM (168);AM;passim;Standard;1;"
"NE (169);NE;obv. 18;Standard;1;"
"PA (174);PA;passim;Standard;1;"
"ŠAB (175);ŠAB ;obv. 8, 16, rev. 13;Assyro-Mittanisch;2;"
"GIŠ (178);GIŠ;passim;Standard;1;"
"E (187);E;passim;Standard;1;"
"SAG (192);SAG;obv. 2, 7, 43;Standard;1;"
"KAL (196);KAL;obv. 14, 30;Standard;1;"
"UN (197);UN;obv. 37;Standard;1;"
"É (199) ;E;obv. 15, 17, 19;Standard;1;"
"DUR (202);DUR;obv. 30;Assyro-Mittanisch;2;"
"NIR (204);NIR;obv. 16;Standard;1;"
"BA (205);BA;passim;Standard;1;"
"ZU (209);ZU;obv. 29, [3]4;Mixed;1;"
"LU (210);LU/1;passim;Hethitisch;0;"
";LU/2;obv. 26, 32;Assyro-Mittanisch;2;"
"DA (214);DA;obv. 13, 40;Mixed;1;"
"DUMU (237);DUMU;passim;Hethitisch;0;"
"ZAG (238);ZAG/1;obv. 12, 13;Mixed;2;"
";ZAG/2;passim;Hethitisch;0;"
"ŠÚ (251);ŠÚ ;obv. 2, 26, 30;Standard;1;"
"MI (267);MI;passim;Standard;1;"
"UL (275);UL;passim;Standard;1;"
"AR (289);AR;obv. 11, 15, 39 (over erasure);Standard;1;"
"MUNUS (297);MUNUS;passim;Standard;1;"
"DAM (298);DAM;obv. 19, 20;Standard;1;"
"GÌR (301);GIR;obv. 5;Assyro-Mittanisch;2;"
"GU (304);GU;passim;Standard;1;"
"EL (307);EL;obv. 13, 25, 38;Hethitisch;0;"
"DI (312);DI;obv. 34 (2x);Assyro-Mittanisch;2;"
"TIN (330);TIN;obv. 6;Hethitisch;0;"
"HAR (333);HAR/1;obv. 6, 7, 8,;Mixed;1;"
";HAR/2;passim;Mixed;1;"
";HAR/3;obv.13;Mixed;1;"
"SUM (350);SUM;obv. 8;Standard;1;"
"HA (367);HA/1;passim;Standard;1;"
";HA/2;obv. 32, 33;Assyro-Mittanisch;2;"